#SampleID	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__WPS-2	d__Bacteria;p__Campylobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__NB1-j	d__Bacteria;p__Dependentiae	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485
SRR9612455	11.0	527.0	85.0	5.0	53.0	455.0	7808.0	1527.0	29.0	4365.0	914.0	672.0	2.0	18.0	0.0	0.0	3.0	2151.0	3.0	9.0	39.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612456	21.0	456.0	56.0	9.0	32.0	248.0	22938.0	962.0	52.0	2229.0	2376.0	190.0	15.0	30.0	0.0	3.0	0.0	550.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612457	42.0	1668.0	1836.0	105.0	3368.0	3872.0	2428.0	466.0	0.0	1165.0	141.0	368.0	8.0	42.0	0.0	0.0	24.0	29.0	8.0	434.0	11.0	135.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612458	67.0	2516.0	2523.0	236.0	3673.0	4126.0	2921.0	476.0	27.0	1526.0	464.0	449.0	22.0	68.0	0.0	6.0	12.0	70.0	8.0	271.0	19.0	119.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612461	35.0	1272.0	1150.0	165.0	3307.0	3885.0	2698.0	902.0	72.0	1123.0	377.0	438.0	2.0	2.0	0.0	19.0	35.0	9.0	13.0	199.0	11.0	42.0	77.0	0.0	0.0	0.0	18.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
SRR9612462	4.0	1411.0	25.0	2.0	23.0	27.0	5770.0	906.0	32.0	1940.0	525.0	183.0	0.0	0.0	2.0	0.0	0.0	89.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612463	25.0	1154.0	772.0	112.0	2521.0	2278.0	7429.0	825.0	99.0	1273.0	758.0	596.0	23.0	10.0	0.0	0.0	16.0	16.0	5.0	114.0	0.0	24.0	63.0	0.0	0.0	4.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612464	68.0	1616.0	1533.0	184.0	4259.0	4037.0	4182.0	1059.0	60.0	1563.0	583.0	1012.0	5.0	48.0	0.0	5.0	575.0	0.0	0.0	490.0	11.0	118.0	79.0	0.0	0.0	0.0	24.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612465	60.0	825.0	725.0	117.0	1577.0	2748.0	2456.0	522.0	71.0	964.0	706.0	423.0	16.0	71.0	0.0	0.0	562.0	38.0	8.0	89.0	26.0	41.0	48.0	0.0	0.0	4.0	6.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612466	50.0	1711.0	1754.0	188.0	3716.0	4421.0	3553.0	914.0	36.0	1544.0	498.0	654.0	10.0	6.0	0.0	14.0	11.0	16.0	10.0	291.0	26.0	65.0	73.0	0.0	0.0	0.0	28.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
