#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR9612422	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612423	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612426	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612428	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612429	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612433	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612434	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612435	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612436	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612440	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612442	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612444	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612445	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612448	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612449	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612450	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612451	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612452	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612455	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612456	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612457	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612458	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612461	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612462	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR9612463	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612464	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR9612465	santos-medellin2021prolonged	Santos-Medellín et al. (2021)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
