#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5225187	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Cenchrus americanus	Endosphere	Not available for this type of experiment	341F,785R
SRR5225188	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225190	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Cenchrus americanus	Endosphere	Not available for this type of experiment	341F,785R
SRR5225191	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225192	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Secale cereale	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225194	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225195	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Secale cereale	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225196	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Secale cereale	Endosphere	Not available for this type of experiment	341F,785R
SRR5225197	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225198	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225199	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Zea mays	Endosphere	Not available for this type of experiment	341F,785R
SRR5225200	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225201	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225202	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Zea mays	Endosphere	Not available for this type of experiment	341F,785R
SRR5225203	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225205	naylor2017drought	Naylor et al. (2017)	Control	Asterids	Solanum lycopersicum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225206	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225207	naylor2017drought	Naylor et al. (2017)	Drought	Asterids	Solanum lycopersicum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225208	naylor2017drought	Naylor et al. (2017)	Drought	Asterids	Solanum lycopersicum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225209	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225210	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Bothriochloa bladhii	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225211	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Bothriochloa bladhii	Endosphere	Not available for this type of experiment	341F,785R
SRR5225212	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225215	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225216	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Hordeum vulgare	Rhizosphere	Not available for this type of experiment	341F,785R
