#SampleID	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Dependentiae	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__TX1A-33	d__Bacteria;p__FCPU426	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__MBNT15	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2
SRR11143433	7117.0	4199.0	8080.0	3263.0	0.0	779.0	267.0	408.0	1244.0	541.0	1628.0	1077.0	68.0	39.0	309.0	0.0	36.0	37.0	0.0	97.0	0.0	0.0	20.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143434	9281.0	6272.0	11306.0	3636.0	22.0	1553.0	454.0	1413.0	1771.0	228.0	1299.0	1405.0	93.0	29.0	203.0	0.0	56.0	97.0	19.0	174.0	7.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143435	2635.0	1675.0	3616.0	1548.0	0.0	310.0	156.0	109.0	605.0	390.0	246.0	300.0	43.0	50.0	104.0	0.0	26.0	0.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143437	4983.0	2621.0	5302.0	3142.0	0.0	518.0	190.0	221.0	945.0	735.0	505.0	574.0	74.0	45.0	191.0	0.0	0.0	16.0	27.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143438	533.0	424.0	5156.0	3341.0	41.0	27.0	0.0	161.0	303.0	184.0	197.0	117.0	0.0	68.0	152.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143441	1195.0	4960.0	2411.0	601.0	0.0	289.0	87.0	358.0	234.0	0.0	219.0	876.0	0.0	0.0	23.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143442	6350.0	1316.0	5975.0	4401.0	0.0	1210.0	351.0	1821.0	1844.0	442.0	673.0	711.0	127.0	463.0	341.0	0.0	44.0	124.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143443	5402.0	658.0	5311.0	3519.0	0.0	1331.0	391.0	1265.0	2121.0	1474.0	460.0	757.0	157.0	308.0	250.0	0.0	0.0	105.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143444	4827.0	1079.0	4039.0	3511.0	9.0	1015.0	326.0	1116.0	1406.0	175.0	474.0	813.0	0.0	213.0	208.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143445	6208.0	2024.0	6445.0	3348.0	20.0	1627.0	637.0	897.0	1357.0	555.0	1129.0	988.0	63.0	522.0	274.0	0.0	0.0	109.0	17.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143447	5028.0	2229.0	5462.0	2240.0	0.0	1085.0	405.0	1173.0	1053.0	244.0	461.0	934.0	161.0	206.0	301.0	15.0	19.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143448	4315.0	3403.0	3870.0	1587.0	0.0	835.0	72.0	87.0	691.0	0.0	581.0	1871.0	0.0	93.0	326.0	173.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143449	4109.0	4017.0	4245.0	1154.0	0.0	572.0	241.0	215.0	931.0	0.0	805.0	1548.0	0.0	22.0	479.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
