#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR21723202	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723217	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723219	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723220	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723221	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723222	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723223	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723227	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723229	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723230	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723231	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723232	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723234	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723236	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723237	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723238	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723239	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723240	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723241	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723242	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723244	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723245	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723246	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723247	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723248	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723250	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723256	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723272	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723273	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723274	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723275	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723276	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723277	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723278	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723279	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723280	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723281	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723282	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723283	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723284	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723285	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723315	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723316	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723317	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723318	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723319	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723320	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723323	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723324	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723325	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723326	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723327	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723328	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723329	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723331	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723332	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723352	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723353	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723355	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723356	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723357	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723360	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723361	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723362	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723363	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723364	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723365	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723366	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723369	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723373	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
