#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__MBNT15	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Spirochaetota	d__Bacteria;p__FCPU426	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WS2	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__NB1-j	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WS4	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Deferribacterota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__GAL15	d__Bacteria;p__Sva0485	d__Bacteria;p__TX1A-33	d__Bacteria;p__Dadabacteria	d__Bacteria;p__WS1	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__PAUC34f	d__Bacteria;p__TA06
SRR20680533	37390.0	16444.0	4995.0	4558.0	5900.0	25299.0	10544.0	10978.0	404.0	18580.0	1763.0	622.0	288.0	5326.0	415.0	1888.0	980.0	469.0	56.0	84.0	25.0	321.0	603.0	57.0	294.0	975.0	3242.0	0.0	24.0	7.0	489.0	93.0	4.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680534	51625.0	19414.0	6890.0	8642.0	8448.0	35146.0	12737.0	17647.0	857.0	32117.0	2731.0	1249.0	405.0	8600.0	823.0	2828.0	864.0	1250.0	137.0	97.0	23.0	309.0	986.0	272.0	848.0	1568.0	3145.0	56.0	13.0	29.0	718.0	193.0	10.0	188.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680535	28330.0	14749.0	4173.0	4220.0	3630.0	20279.0	6620.0	12210.0	101.0	20311.0	1470.0	222.0	76.0	9511.0	247.0	1852.0	858.0	107.0	8.0	47.0	0.0	243.0	235.0	30.0	427.0	309.0	1115.0	0.0	0.0	0.0	545.0	101.0	10.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680536	28593.0	11163.0	3542.0	3618.0	3984.0	20965.0	6400.0	9894.0	147.0	26805.0	1246.0	340.0	203.0	6075.0	171.0	2212.0	686.0	186.0	46.0	59.0	0.0	403.0	330.0	13.0	410.0	474.0	1024.0	0.0	7.0	7.0	430.0	165.0	16.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680537	14459.0	5658.0	1775.0	1179.0	1585.0	8801.0	2786.0	4414.0	78.0	15233.0	766.0	340.0	164.0	8314.0	73.0	846.0	285.0	91.0	47.0	32.0	0.0	150.0	146.0	6.0	132.0	250.0	979.0	4.0	2.0	7.0	282.0	80.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680539	33475.0	7977.0	6497.0	6747.0	3305.0	15381.0	5999.0	9372.0	361.0	19497.0	1953.0	330.0	93.0	48792.0	215.0	511.0	430.0	67.0	340.0	90.0	3.0	193.0	410.0	50.0	163.0	352.0	1959.0	0.0	3.0	4.0	256.0	33.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680542	45905.0	18553.0	4809.0	7318.0	7275.0	26744.0	7661.0	16386.0	389.0	28901.0	2292.0	591.0	552.0	6559.0	455.0	3233.0	730.0	179.0	235.0	55.0	0.0	475.0	596.0	105.0	811.0	623.0	1044.0	4.0	20.0	45.0	755.0	93.0	20.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680543	61133.0	22277.0	7442.0	12424.0	7810.0	38782.0	14775.0	17095.0	647.0	30330.0	2465.0	776.0	451.0	10341.0	764.0	2336.0	1134.0	365.0	103.0	162.0	4.0	988.0	826.0	94.0	333.0	1055.0	1639.0	0.0	11.0	22.0	383.0	65.0	29.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680545	50616.0	22145.0	8226.0	8247.0	6576.0	28457.0	10140.0	14165.0	292.0	29992.0	2282.0	600.0	252.0	13502.0	307.0	2495.0	943.0	434.0	105.0	102.0	0.0	111.0	387.0	61.0	453.0	787.0	1126.0	3.0	36.0	7.0	555.0	106.0	10.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20680546	42835.0	9296.0	6074.0	9784.0	5786.0	22161.0	7413.0	10682.0	290.0	19638.0	2178.0	702.0	225.0	76275.0	273.0	783.0	584.0	260.0	211.0	156.0	14.0	315.0	612.0	85.0	325.0	858.0	705.0	21.0	5.0	0.0	295.0	45.0	0.0	28.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
