#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__FCPU426	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2
SRR21723153	241.0	5350.0	1749.0	0.0	2192.0	1545.0	10934.0	0.0	40.0	41.0	61.0	20.0	0.0	7.0	0.0	5.0	0.0	0.0	0.0	15.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723154	427.0	4122.0	603.0	4.0	1016.0	1526.0	10163.0	3.0	80.0	35.0	63.0	6.0	0.0	9.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723157	268.0	5714.0	1137.0	0.0	1552.0	806.0	8043.0	7.0	72.0	57.0	0.0	7.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723168	496.0	4974.0	935.0	0.0	520.0	1643.0	11834.0	7.0	196.0	60.0	58.0	3.0	0.0	5.0	14.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723171	991.0	17483.0	2501.0	6.0	2625.0	1780.0	15533.0	39.0	345.0	167.0	128.0	70.0	8.0	35.0	0.0	2.0	0.0	0.0	16.0	21.0	0.0	7.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723172	317.0	5878.0	608.0	0.0	1656.0	566.0	8052.0	7.0	274.0	17.0	72.0	4.0	0.0	0.0	9.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723173	262.0	4460.0	283.0	0.0	968.0	495.0	6337.0	9.0	85.0	51.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723174	491.0	6007.0	402.0	10.0	1448.0	614.0	8411.0	8.0	85.0	57.0	73.0	66.0	0.0	13.0	3.0	0.0	0.0	0.0	28.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723176	295.0	5918.0	855.0	0.0	1563.0	1032.0	7766.0	7.0	41.0	5.0	46.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723177	401.0	8811.0	1814.0	0.0	770.0	1014.0	8971.0	14.0	57.0	8.0	79.0	31.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
