#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR21723613	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723614	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723615	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723616	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723619	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723620	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723621	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723622	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723623	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723624	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723625	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723626	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723627	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723628	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723629	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723630	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723631	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723632	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723633	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723634	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723635	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723636	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723637	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723638	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723639	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723640	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723641	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723643	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723644	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723645	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723646	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723647	azarbad2022response	Azarbad et al. (2022)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723658	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
