#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5532715	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532716	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532717	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532718	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532719	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532720	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532721	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532724	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532725	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532727	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532728	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532729	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532730	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532731	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532732	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532733	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532734	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532735	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532736	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532737	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532738	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532739	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532740	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532741	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532742	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532743	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532744	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532745	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532746	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532747	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532748	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532749	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532750	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532751	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532752	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532753	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532754	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532755	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532756	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532757	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532758	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532759	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532760	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532761	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532762	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532763	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532764	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532765	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532766	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532767	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532768	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532769	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532770	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532771	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532772	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532773	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532777	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532778	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532779	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532780	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532781	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532782	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532783	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532784	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532785	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532786	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532788	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532790	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532791	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532792	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532794	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532795	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532796	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532797	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532798	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532799	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532800	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532801	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532802	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532803	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532804	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532805	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532806	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532807	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532808	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532809	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	515F,806R
SRR5532810	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532811	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532812	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532813	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532814	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532815	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532816	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532818	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532819	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Endosphere	Not available for this type of experiment	515F,806R
SRR5532820	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532821	santos-medellin2017drought	Santos-Medellín et al. (2017)	Control	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532822	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532823	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Endosphere	Not available for this type of experiment	515F,806R
SRR5532824	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532825	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532826	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532827	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532828	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532829	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza glaberrima	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532830	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
SRR5532831	santos-medellin2017drought	Santos-Medellín et al. (2017)	Drought	BOP clade	Oryza sativa	Rhizosphere	Not available for this type of experiment	515F,806R
