#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__FCPU426	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485	d__Bacteria;p__RCP2-54	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Nitrospinota	d__Bacteria;p__PAUC34f	d__Bacteria;p__FW113	d__Bacteria;p__Rs-K70_termite_group	d__Bacteria;p__Deferribacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Thermotogota	d__Bacteria;p__Caldisericota	d__Bacteria;p__Caldatribacteriota	d__Bacteria;p__Coprothermobacterota
SRR9612701	3737.0	4866.0	455.0	59.0	3883.0	127.0	1999.0	0.0	841.0	593.0	1645.0	11.0	2140.0	0.0	185.0	0.0	0.0	0.0	51.0	31.0	0.0	9.0	14.0	0.0	3.0	0.0	0.0	2.0	15.0	26.0	229.0	90.0	0.0	14.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612702	4171.0	3815.0	275.0	118.0	7204.0	84.0	1523.0	0.0	1290.0	645.0	2244.0	38.0	2558.0	0.0	159.0	35.0	15.0	0.0	20.0	93.0	0.0	33.0	14.0	0.0	3.0	0.0	0.0	2.0	10.0	18.0	541.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612703	3492.0	3503.0	499.0	45.0	4463.0	64.0	1626.0	0.0	853.0	500.0	1501.0	29.0	2175.0	0.0	158.0	26.0	5.0	4.0	80.0	33.0	0.0	48.0	20.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0	251.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612704	5638.0	5566.0	589.0	219.0	5904.0	69.0	2313.0	0.0	1537.0	904.0	1839.0	31.0	2457.0	0.0	168.0	48.0	6.0	0.0	16.0	83.0	0.0	303.0	17.0	0.0	5.0	0.0	0.0	3.0	12.0	0.0	439.0	194.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612708	2448.0	3000.0	372.0	111.0	4150.0	212.0	1183.0	0.0	1021.0	358.0	1243.0	32.0	1242.0	0.0	64.0	23.0	0.0	0.0	34.0	74.0	7.0	70.0	33.0	0.0	0.0	0.0	0.0	13.0	22.0	28.0	246.0	98.0	0.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612709	1743.0	2252.0	300.0	86.0	2949.0	314.0	805.0	0.0	1146.0	330.0	859.0	26.0	521.0	0.0	45.0	0.0	0.0	0.0	8.0	43.0	0.0	154.0	11.0	7.0	4.0	0.0	0.0	0.0	14.0	6.0	153.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612710	1737.0	2554.0	415.0	104.0	2867.0	351.0	685.0	0.0	963.0	265.0	1095.0	22.0	691.0	0.0	60.0	17.0	0.0	0.0	27.0	44.0	2.0	110.0	18.0	0.0	0.0	0.0	0.0	12.0	22.0	28.0	171.0	62.0	0.0	29.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612711	3624.0	5216.0	550.0	216.0	8654.0	130.0	1777.0	0.0	1707.0	997.0	2291.0	42.0	2995.0	0.0	210.0	26.0	0.0	0.0	39.0	124.0	0.0	19.0	45.0	0.0	0.0	0.0	0.0	0.0	24.0	38.0	566.0	527.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612714	3507.0	4056.0	490.0	137.0	7538.0	37.0	1305.0	0.0	1025.0	763.0	1890.0	67.0	1872.0	0.0	177.0	42.0	0.0	0.0	116.0	40.0	0.0	4.0	20.0	7.0	0.0	0.0	0.0	0.0	0.0	25.0	335.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612715	6251.0	2226.0	512.0	82.0	4760.0	78.0	2426.0	0.0	604.0	439.0	2083.0	18.0	2088.0	0.0	286.0	17.0	0.0	0.0	42.0	46.0	0.0	20.0	9.0	0.0	0.0	0.0	0.0	0.0	13.0	10.0	247.0	88.0	0.0	0.0	2.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612716	4533.0	4841.0	267.0	225.0	7995.0	54.0	1396.0	0.0	1206.0	566.0	1632.0	50.0	1963.0	0.0	173.0	8.0	0.0	0.0	40.0	103.0	0.0	32.0	24.0	0.0	0.0	0.0	0.0	3.0	0.0	15.0	530.0	156.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612717	6911.0	2200.0	485.0	49.0	3466.0	106.0	3151.0	0.0	402.0	366.0	1755.0	7.0	1212.0	0.0	293.0	0.0	8.0	0.0	11.0	39.0	2.0	30.0	2.0	0.0	9.0	0.0	0.0	0.0	13.0	5.0	111.0	56.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
