#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__WPS-2	d__Bacteria;p__GAL15	d__Bacteria;p__MBNT15
SRR16953360	14153.0	508.0	2854.0	4.0	902.0	2984.0	17.0	418.0	265.0	146.0	8.0	85.0	169.0	259.0	12.0	791.0	21.0	34.0	66.0	0.0	7.0	0.0	0.0	0.0	1567.0	126.0	0.0	0.0
SRR16953361	11595.0	165.0	6299.0	20.0	2891.0	2722.0	98.0	39.0	518.0	89.0	8.0	0.0	82.0	197.0	13.0	472.0	0.0	0.0	63.0	0.0	0.0	22.0	0.0	0.0	2184.0	27.0	0.0	0.0
SRR16953362	7103.0	142.0	1780.0	0.0	2155.0	3255.0	0.0	105.0	7.0	8.0	0.0	0.0	64.0	0.0	0.0	15.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	782.0	6.0	0.0	0.0
SRR16953363	13656.0	236.0	3874.0	4.0	5209.0	625.0	236.0	0.0	145.0	198.0	48.0	0.0	159.0	22.0	33.0	7.0	15.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	5932.0	11.0	0.0	0.0
SRR16953364	10448.0	209.0	2461.0	9.0	5930.0	340.0	8.0	28.0	419.0	170.0	0.0	12.0	149.0	31.0	20.0	243.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2092.0	0.0	0.0	0.0
SRR16953365	7581.0	232.0	3273.0	7.0	6207.0	1287.0	113.0	219.0	152.0	53.0	0.0	20.0	41.0	12.0	200.0	20.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6682.0	0.0	0.0	0.0
SRR16953366	7588.0	215.0	3998.0	0.0	1456.0	922.0	24.0	86.0	344.0	153.0	0.0	216.0	11.0	36.0	6.0	427.0	0.0	46.0	8.0	0.0	0.0	0.0	0.0	0.0	124.0	59.0	0.0	0.0
SRR16953368	1130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18469.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953369	26103.0	1079.0	8679.0	65.0	3863.0	6220.0	253.0	1242.0	827.0	587.0	194.0	84.0	363.0	247.0	31.0	1031.0	0.0	20.0	123.0	3.0	0.0	5.0	0.0	0.0	7517.0	68.0	2.0	0.0
SRR16953370	23077.0	1194.0	9815.0	2.0	4888.0	6224.0	56.0	289.0	865.0	358.0	32.0	25.0	244.0	629.0	33.0	300.0	79.0	97.0	83.0	0.0	12.0	0.0	0.0	0.0	1971.0	155.0	0.0	0.0
SRR16953372	10141.0	380.0	3610.0	29.0	2649.0	2211.0	26.0	129.0	126.0	165.0	16.0	27.0	47.0	148.0	8.0	385.0	0.0	14.0	23.0	0.0	10.0	0.0	0.0	0.0	315.0	21.0	0.0	0.0
SRR16953374	6645.0	563.0	2179.0	0.0	1901.0	2778.0	34.0	6.0	417.0	168.0	25.0	31.0	42.0	12.0	9.0	264.0	42.0	36.0	42.0	0.0	4.0	0.0	0.0	0.0	308.0	42.0	0.0	0.0
SRR16953377	8110.0	169.0	2341.0	77.0	5900.0	180.0	102.0	1184.0	413.0	130.0	20.0	0.0	65.0	27.0	83.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	5178.0	0.0	0.0	0.0
SRR16953379	11726.0	725.0	5405.0	71.0	5114.0	2493.0	61.0	303.0	909.0	233.0	7.0	21.0	133.0	37.0	31.0	723.0	63.0	94.0	72.0	0.0	0.0	0.0	0.0	0.0	944.0	6.0	0.0	0.0
SRR16953380	21831.0	539.0	3656.0	196.0	9598.0	749.0	532.0	677.0	316.0	446.0	92.0	79.0	390.0	31.0	28.0	9.0	0.0	0.0	6.0	15.0	0.0	0.0	0.0	0.0	6240.0	10.0	0.0	0.0
SRR16953381	23694.0	896.0	5390.0	100.0	11087.0	1552.0	251.0	288.0	587.0	730.0	0.0	19.0	470.0	162.0	64.0	1181.0	102.0	103.0	28.0	0.0	0.0	0.0	0.0	0.0	7549.0	0.0	0.0	0.0
SRR16953382	6455.0	195.0	3247.0	10.0	327.0	921.0	200.0	23.0	485.0	134.0	89.0	4.0	135.0	42.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1569.0	0.0	0.0	0.0
SRR16953384	23691.0	344.0	5423.0	66.0	6381.0	2487.0	160.0	10.0	318.0	278.0	54.0	36.0	52.0	300.0	13.0	107.0	7.0	17.0	143.0	0.0	6.0	0.0	0.0	0.0	2136.0	89.0	0.0	0.0
SRR16953385	6737.0	32.0	2221.0	0.0	184.0	3975.0	34.0	23.0	132.0	91.0	5.0	0.0	34.0	193.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	2.0	0.0	0.0	298.0	11.0	0.0	0.0
SRR16953387	5298.0	161.0	1403.0	0.0	475.0	2113.0	3.0	47.0	41.0	22.0	0.0	0.0	90.0	138.0	13.0	137.0	0.0	11.0	4.0	0.0	0.0	0.0	0.0	0.0	1174.0	88.0	0.0	0.0
SRR16953388	11146.0	494.0	3971.0	46.0	6710.0	1104.0	11.0	263.0	420.0	415.0	0.0	21.0	167.0	70.0	64.0	3987.0	54.0	47.0	41.0	0.0	5.0	0.0	0.0	0.0	7870.0	0.0	0.0	0.0
SRR16953389	1327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16953391	10446.0	170.0	5340.0	2465.0	576.0	3546.0	17.0	69.0	364.0	133.0	11.0	22.0	62.0	702.0	3.0	37.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	1442.0	85.0	0.0	0.0
SRR16953392	7455.0	181.0	2259.0	14.0	1441.0	1019.0	45.0	32.0	104.0	100.0	3.0	0.0	44.0	71.0	0.0	0.0	21.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	1444.0	12.0	0.0	0.0
SRR16953393	11978.0	309.0	4053.0	33.0	2033.0	7599.0	34.0	88.0	73.0	80.0	12.0	121.0	146.0	329.0	0.0	133.0	10.0	3.0	27.0	0.0	2.0	0.0	0.0	0.0	1012.0	274.0	0.0	0.0
SRR16953394	26606.0	985.0	7176.0	15.0	11338.0	2575.0	359.0	488.0	557.0	372.0	25.0	2.0	384.0	51.0	142.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1928.0	9.0	0.0	0.0
SRR16953397	4671.0	209.0	1589.0	7.0	1955.0	482.0	38.0	96.0	309.0	66.0	5.0	13.0	107.0	0.0	0.0	662.0	14.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	616.0	0.0	0.0	0.0
SRR16953398	9051.0	104.0	2562.0	0.0	3954.0	1882.0	16.0	5.0	65.0	51.0	9.0	10.0	37.0	248.0	2.0	108.0	0.0	26.0	7.0	0.0	0.0	0.0	0.0	0.0	630.0	7.0	0.0	0.0
SRR16953399	8887.0	620.0	5452.0	32.0	2237.0	2393.0	30.0	87.0	433.0	185.0	0.0	36.0	81.0	5.0	692.0	10.0	0.0	0.0	33.0	0.0	0.0	10.0	0.0	3.0	705.0	48.0	0.0	0.0
