#SampleID	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Dependentiae	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__FCPU426	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Spirochaetota
SRR8744058	21.0	9070.0	2462.0	8519.0	229.0	413.0	1231.0	16.0	35.0	2032.0	92.0	42.0	4.0	0.0	29.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744060	49.0	15630.0	6513.0	32831.0	866.0	2087.0	4702.0	40.0	128.0	1362.0	264.0	176.0	0.0	11.0	49.0	0.0	0.0	10.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744062	43.0	10126.0	4224.0	10760.0	838.0	1124.0	2050.0	12.0	35.0	974.0	156.0	56.0	7.0	103.0	44.0	33.0	0.0	0.0	11.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744071	16.0	9979.0	1844.0	8109.0	280.0	268.0	686.0	7.0	0.0	5008.0	32.0	25.0	5.0	7.0	22.0	37.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744072	56.0	6503.0	1498.0	6846.0	500.0	988.0	1580.0	3.0	58.0	807.0	184.0	32.0	6.0	51.0	18.0	0.0	2.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
SRR8744075	135.0	8375.0	2407.0	10927.0	745.0	2169.0	2902.0	37.0	119.0	670.0	223.0	37.0	11.0	118.0	39.0	0.0	5.0	0.0	10.0	5.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
SRR8744076	37.0	20266.0	7930.0	34646.0	1111.0	2562.0	6030.0	41.0	151.0	2025.0	237.0	187.0	16.0	20.0	108.0	55.0	3.0	0.0	23.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744077	229.0	25640.0	11407.0	22846.0	1349.0	3478.0	7354.0	52.0	190.0	3110.0	686.0	258.0	0.0	72.0	117.0	79.0	13.0	18.0	24.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744078	0.0	11932.0	362.0	13340.0	119.0	242.0	646.0	8.0	24.0	4760.0	66.0	13.0	2.0	0.0	4.0	0.0	0.0	0.0	11.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744087	47.0	11915.0	3574.0	22108.0	397.0	591.0	1836.0	43.0	44.0	1874.0	141.0	119.0	7.0	0.0	9.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
