#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR8743644	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743654	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743671	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743672	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743673	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743674	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743688	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743689	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743690	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743691	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743692	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743693	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743696	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743741	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743747	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743748	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743749	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743750	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743751	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743752	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743755	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743759	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743762	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743763	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743764	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743765	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743766	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743767	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743768	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743769	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743770	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743784	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743785	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743792	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743793	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743794	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743798	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743799	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743809	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743811	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743812	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743813	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743827	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743830	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743832	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743833	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743834	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743835	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743837	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743839	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743840	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743841	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743845	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743847	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743853	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
